1,3/19/2011 22:12:38,Donegal Daily,13-03-2011,http://www.donegaldaily.com/,"Complete confusion between the cities of Tokyo and Sendai, although I'm not sure if the guy interviewed wasn't stretching the truth. The inference that the army were preventing people from entering Tokyo was completely false. A colleague of mine returned safely on Saturday morning via Shinkansen from Osaka to Tokyo.",5,http://www.donegaldaily.com/2011/03/13/donegal-earthquake-volunteer-refused-entry-to-tokyo-but-battles-on-to-help/
2,3/19/2011 22:44:14,"Unknown headline writer, ABC News",19-03-2011,abcnews.com,"The headline blares ""RADIATION IN FOOD SUPPLY"".  Research the story and you discover that A.)the radiation detected was at a slightly elevated level, but not a particularly dangerous one - drinking a year's worth of the milk in question would be the equivalent of a person getting a CAT scan, and B.)the radiation was found only in milk and spinach taken from farms very close to the nuclear plant, which in no way whatsoever equate to the ""food supply"".",8,http://abcnews.go.com/Business/wireStory?id=13170795
3,3/19/2011 22:46:44,Madison Park,18-03-2011,CNN,Subjective comparison between the tsunami and Fukushima issues with Hiroshima. Very late mention that America dropped the bomb on Hiroshima.Implication that the current crisis is aas serious as Hiroshima.,7,http://edition.cnn.com/2011/WORLD/asiapcf/03/18/bomb.survivors/index.html?hpt=C1
4,3/19/2011 23:01:53,Rebekah Cavanagh,18-3-2011,Sky News Online,Using hitherto unheard of nicknames such as Samurai Warriors and Nuclear Ninjas which seem a tad racially biased. The mention of suicide missions even though most other articles on the subject are about how a lot of manpower is needed because the workers can only work for so long until they've been exposed to the yearly limit. Comparisons to Chernobyl.,10,http://news.sky.com/skynews/Home/World-News/Fukushima-Nuclear-Plant-Workers-Are-Heroes-After-Risking-Own-Lives-To-Avert-Meltdown-In-Japan/Article/201103315954904?lpos=World_News_First_Home_Article_Teaser_Region_1&lid=ARTICLE_15954904_Fukushima_Nuclear_Plant_Workers_Are_Heroes_After_Risking_Own_Lives_To_Avert_Meltdown_In_Japan_
5,3/19/2011 23:28:53,Daily Telegraph Sydney,20-03-2011,"Daily Telegraph, Sydney, Australia","Drumming up fear of radioactivity in Tokyo's water supply but adding""the levels were far below Japan's legal limit, added the official, who did not want to be named""Even now, March 20, they are still saying.""Japan's meteorological agency measured the quake at a magnitude of 6.1."", aren't they keeping up to date?After that, ""Britain, France and other countries advised their citizens to leave Tokyo, causing many foreigners to flee the capital amid fears that a larger radiation leak might reach the sprawling city""",7,http://www.dailytelegraph.com.au/news/world/radioactive-iodine-found-in-tokyos-water-supply/story-e6frev00-1226024741701
6,3/20/2011 0:00:57,Rosie DiManno,17-03-2011,The Toronto Star,"Not content with the previous day's report listed above, Ms. DiManno went at it again to do some fearmongering. I'm being generous in giving it a 7 instead of a 9 I think. [You were. I have read the piece, sent a complaint to the Toronto Star, and upgraded the severity to a 9. --@stagerabbit (wiki_rabbit)]Some samples of her article;""But the rest of the prefecture, or state, in North Eastern Japan has been plunged into winter again – if not nuclear winter, not yet...""""Attacking with water cannons from the ground was step two of an earlier phase, when a couple CH-47 helicopters were dispatched to drop water from above, before they also were yanked back beyond radioactive reach – assuming there is such a thing as protective distance.""""Perhaps the real lesson here is that the nuclear reactors should never have been built on an island geographically vulnerable to earthquakes. It’s been noted that the Fukushima reactors were tested to a magnitude of 7.9 and found sturdy. How unreasonable of Mother Nature to knock off a 9.0 earthquake instead.""How unreasonable of her to not mention it survived the 9.0 quake quite well, shut down automatically like it was designed to but the tsunami flooding caused the cooling failures and the problems resulting from that.However she saved the best for last;""“These survivors were already wet and chilly when they arrived at the shelters,” a government spokesman observed.He made it sound like it was almost their fault for dying.""Horrible reporting possibly slanted to promote an anti-nuclear viewpoint, pessimistic predictions of the success of methods to solve the plant's various problems and general disdain and disbelief for various government and company spokespeople.An excellent example of reporting that causes family and friends living back in North America to fear for the safety of people living here.",9,http://www.thestar.com/news/world/article/955721--dimanno-no-rest-for-japan-quake-victims
7,3/20/2011 0:18:19,Fuji TV reporters,11/3/2011,Fuji TV emergency news,"During the press conference of Prime Minister on live, the shame things which reporters (male and female) spoke was telecasted.(Reporters are not aware that the switch of their mike is on. Rumor has it that female reporter is  a newscaster of FUJI TV, Japan))MAN: Gimme a break, his topic is about that nuke plant as alwaus, I guess.WOMAN: I say we don' get any information﻿ to report here.WOMAN: He's really a scum.MAN: Not a scum, but ...WOMAN: Really a scum. (chuckle)WOMAN: Funny-ha-ha. I'm laughin'﻿ (chuckle)MAN: Damn!﻿ (He notices the switch is not off)WOMAN: What're you talkin' about?",10,http://www.youtube.com/watch?v=pAbFxUQsGaQ
8,3/20/2011 0:50:22,Paul Melia,19-03-2011,Irish Independent,"Scaremongering based on impossible scenario. This article has a perfectly scaremongering headline ""Explosion could send contamination to Ireland"", and he claims that if the nuclear power plant in Fukushima explodes, Ireland could be hit with radiation ""despite Japan being almost 10,000km away."" He is also guilty of citing a comment from Pat Clarke of Met Eireann, on a near-impossible scenario of ""an explosion of up to 30,000 feet"". At the end of the article he states that it was only last year that the UK Food Standard Agency declared that the Scottish sheep industry was free of radio active from Chernobyl. Considering the scale of the incident and the distance from the affected area, this attempted comparison is simply absurd. ",9,http://www.independent.ie/world-news/explosion-could-send-contamination-to-ireland-2585713.html
9,3/20/2011 1:12:02,Greg Robb,19-03-2011,http://www.marketwatch.com,"The publication is alleging that Japans food supply, namely Spinach and milk, is tainted with radiation.The intent of this would be to create panic amongst Japanese, to increase sales of imported foodstuffs and to worry people with relatives in Japan.",6,http://www.marketwatch.com/story/high-radiation-found-in-japan-spinach-milk-2011-03-19
10,3/20/2011 1:44:46,(Source: Independent.ie),20-03-2011,http://www.philippinetimes.com/,"Article copied from Irish independant, falsely claiming that radiation could reach Ireland.",9,http://story.philippinetimes.com/index.php/ct/9/cid/4a8b544d0e80ba53/id/43920163/
